2026-01-26 03:18:08 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-01 22:50:17 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-01 22:55:26 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-01 23:03:09 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-01 23:12:17 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-01 23:16:17 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-01 23:38:04 | standard-release | FastMediaSorter_standard_release.apk
AAB Release - 2026-02-01 23:40:42 - Size: 78.17 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
AAB Release - 2026-02-02 00:09:49 - Size: 78.18 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
2026-02-02 00:11:50 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-02 00:12:56 | wear-debug | FastMediaSorter_wear_debug.apk
2026-02-02 00:14:11 | wear-release | FastMediaSorter_wear_release.apk
2026-02-02 00:15:09 | photos-debug | FastMediaSorter_photos_debug.apk
2026-02-02 00:16:07 | photos-release | FastMediaSorter_photos_release.apk
2026-02-02 00:17:10 | lite-debug | FastMediaSorter_lite_debug.apk
2026-02-02 00:17:45 | lite-release | FastMediaSorter_lite_release.apk
2026-02-02 00:19:01 | legacy-debug | FastMediaSorter_legacy_debug.apk
2026-02-02 00:19:57 | legacy-release | FastMediaSorter_legacy_release.apk
2026-02-02 01:18:14 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-02 01:39:41 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-02 01:51:01 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-02 01:59:29 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-02 02:07:04 | standard-debug | FastMediaSorter_standard_debug.apk
AAB Release - 2026-02-02 02:13:26 - Size: 78.18 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
AAB Release - 2026-02-02 02:45:22 - Size: 78.18 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
2026-02-02 10:10:20 | legacy-debug-batch | FastMediaSorter_legacy_debug.apk
2026-02-02 10:10:20 | legacy-release-batch | FastMediaSorter_legacy_release.apk
2026-02-02 10:10:20 | lite-debug-batch | FastMediaSorter_lite_debug.apk
2026-02-02 10:10:20 | lite-release-batch | FastMediaSorter_lite_release.apk
2026-02-02 10:10:20 | photos-debug-batch | FastMediaSorter_photos_debug.apk
2026-02-02 10:10:20 | photos-release-batch | FastMediaSorter_photos_release.apk
2026-02-02 10:10:20 | standard-debug-batch | FastMediaSorter_standard_debug.apk
2026-02-02 10:10:20 | standard-release-batch | FastMediaSorter_standard_release.apk
2026-02-02 16:41:46 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-02 16:55:35 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-02 22:04:36 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-02 22:21:43 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-02 22:33:48 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-02 22:39:05 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-02 23:41:20 | standard-release | FastMediaSorter_standard_release.apk
2026-02-02 23:42:27 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-02 23:48:08 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-03 00:10:03 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-03 00:17:21 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-03 00:23:29 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-03 00:26:06 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-03 00:42:20 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-03 00:45:36 | standard-debug-device | FastMediaSorter_standard_debug.apk
2026-02-03 01:02:11 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-03 01:16:05 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-03 01:38:58 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-03 02:22:24 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-03 02:31:09 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-03 02:34:45 | standard-release | FastMediaSorter_standard_release.apk
2026-02-03 02:35:49 | photos-debug | FastMediaSorter_photos_debug.apk
2026-02-03 22:15:41 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-03 22:28:28 | lite-debug | FastMediaSorter_lite_debug.apk
2026-02-03 22:34:35 | lite-debug | FastMediaSorter_lite_debug.apk
2026-02-03 23:22:26 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-04 00:47:43 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-04 00:54:27 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-04 01:01:49 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-04 01:07:31 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-04 01:10:10 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-04 01:13:23 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-04 01:15:14 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-04 01:17:42 | standard-debug | FastMediaSorter_standard_debug.apk
AAB Release - 2026-02-04 01:25:40 - Size: 78.22 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
2026-02-04 01:26:53 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-04 02:04:57 | standard-debug | FastMediaSorter_standard_debug.apk
AAB Release - 2026-02-04 02:09:56 - Size: 78.22 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
2026-02-04 02:36:02 | standard-debug | FastMediaSorter_standard_debug.apk
AAB Release - 2026-02-04 02:49:02 - Size: 78.23 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
2026-02-04 02:56:47 | legacy-debug-batch | FastMediaSorter_legacy_debug.apk
2026-02-04 02:56:47 | legacy-release-batch | FastMediaSorter_legacy_release.apk
2026-02-04 02:56:47 | lite-debug-batch | FastMediaSorter_lite_debug.apk
2026-02-04 02:56:47 | lite-release-batch | FastMediaSorter_lite_release.apk
2026-02-04 02:56:47 | photos-debug-batch | FastMediaSorter_photos_debug.apk
2026-02-04 02:56:47 | photos-release-batch | FastMediaSorter_photos_release.apk
2026-02-04 02:56:47 | standard-debug-batch | FastMediaSorter_standard_debug.apk
2026-02-04 02:56:47 | standard-release-batch | FastMediaSorter_standard_release.apk
2026-02-04 23:55:51 | standard-debug | FastMediaSorter_standard_debug.apk
AAB Release - 2026-02-05 00:16:20 - Size: 78.23 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
AAB Release - 2026-02-05 01:14:24 - Size: 78.24 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
2026-02-05 01:17:23 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-05 01:18:29 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-05 01:23:23 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-05 01:25:37 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-05 01:29:40 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-05 01:31:34 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-05 01:40:56 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-05 21:35:53 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-05 22:04:53 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-05 22:13:48 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-05 22:31:16 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-05 22:45:03 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-05 23:18:05 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-06 00:20:28 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-06 00:40:00 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-06 00:41:41 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-06 00:55:30 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-06 01:38:05 | standard-debug | FastMediaSorter_standard_debug.apk
AAB Release - 2026-02-06 01:43:10 - Size: 78.26 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
2026-02-06 01:48:15 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-06 01:52:35 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-06 21:46:34 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-06 21:55:50 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-06 22:05:49 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-06 22:37:49 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-06 22:48:09 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-06 22:58:06 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-06 23:23:23 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-06 23:35:13 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-06 23:37:43 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-07 00:02:13 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-07 00:26:17 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-07 00:33:37 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-07 00:49:56 | standard-debug | FastMediaSorter_standard_debug.apk
AAB Release - 2026-02-07 01:02:49 - Size: 78.28 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
AAB Release - 2026-02-07 01:18:56 - Size: 78.28 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
2026-02-07 01:27:57 | legacy-debug | FastMediaSorter_legacy_debug.apk
2026-02-07 01:31:49 | lite-debug | FastMediaSorter_lite_debug.apk
2026-02-07 01:33:40 | photos-debug | FastMediaSorter_photos_debug.apk
2026-02-07 01:36:09 | wear-debug | FastMediaSorter_wear_debug.apk
2026-02-07 01:38:14 | wear-release | FastMediaSorter_wear_release.apk
2026-02-07 18:58:17 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-07 19:23:56 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-07 22:33:51 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-07 23:19:03 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-07 23:25:45 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-07 23:28:22 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-07 23:39:22 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-07 23:48:45 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-07 23:56:54 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 00:20:47 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 01:18:34 | standard-debug | FastMediaSorter_standard_debug.apk
AAB Release - 2026-02-08 01:29:23 - Size: 78.3 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
2026-02-08 01:32:35 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 01:37:49 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 01:55:43 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 02:02:39 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 02:11:51 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 02:14:32 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 03:18:30 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 04:00:18 | standard-debug | FastMediaSorter_standard_debug.apk
AAB Release - 2026-02-08 04:03:24 - Size: 78.3 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
2026-02-08 04:23:04 | standard-debug | FastMediaSorter_standard_debug.apk
AAB Release - 2026-02-08 04:28:16 - Size: 78.29 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
2026-02-08 15:00:50 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 15:30:44 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 15:38:51 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 16:01:00 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 16:20:29 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 16:52:31 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 17:02:19 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 17:06:29 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 17:12:45 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 17:25:08 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 17:31:44 | lite-debug | FastMediaSorter_lite_debug.apk
2026-02-08 17:32:33 | photos-debug | FastMediaSorter_photos_debug.apk
2026-02-08 18:11:31 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 18:15:06 | photos-debug | FastMediaSorter_photos_debug.apk
[2026-02-08 18:56:21] v2.60.2081.854-DEBUG - Fixed topCommandPanel positioning after fullscreen exit (added WindowInsetsListener)
[2026-02-08 19:00:52] v2.60.2081.859-DEBUG - Added requestApplyInsets() for topCommandPanel to force WindowInsets application
[2026-02-08 19:07:32] v2.60.2081.905-DEBUG - Fixed topCommandPanel WindowInsets using View.post{} to ensure View is attached
2026-02-08 19:10:48 | standard-debug | FastMediaSorter_standard_debug.apk
AAB Release - 2026-02-08 19:13:04 - Size: 78.29 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
2026-02-08 19:59:05 | standard-debug | FastMediaSorter_standard_debug.apk
[2026-02-08 20:23:12] v2.60.2082.021-DEBUG - Fixed system bars respect for Android OS UI: added systemBarsManager calls to PDF/EPUB/Text fullscreen modes
2026-02-08 20:25:17 | standard-debug | FastMediaSorter_standard_debug.apk
AAB Release - 2026-02-08 20:27:21 - Size: 78.29 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
AAB Release - 2026-02-08 20:44:26 - Size: 78.29 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
2026-02-08 20:53:48 | standard-debug | FastMediaSorter_standard_debug.apk
AAB Release - 2026-02-08 20:55:54 - Size: 78.29 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
2026-02-08 21:04:40 | standard-debug | FastMediaSorter_standard_debug.apk
AAB Release - 2026-02-08 21:06:03 - Size: 78.29 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
2026-02-08 21:10:38 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-08 23:57:06 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-09 00:22:33 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-09 00:46:45 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-09 00:52:32 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-09 01:02:44 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-09 01:40:01 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-09 01:57:21 | standard-release | FastMediaSorter_standard_release.apk
[2026-02-09 02:11:19] v2.60.2090.157-DEBUG - Fixed InterruptedException in SmbDataSource during fast file switching (move->next)
[2026-02-09 02:40:42] v2.60.2090.234-DEBUG - Fixed topCommandPanel overlap with status bar in landscape mode
AAB Release - 2026-02-09 02:41:18 - Size: 78.31 MB - Path: C:\GIT\FastMediaSorter_mob_v2\DOWNLOADS\FastMediaSorter_standard_release.aab
2026-02-09 02:52:38 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-09 16:01:30 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-09 16:23:52 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-09 16:40:01 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-09 17:00:33 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-09 17:16:20 | wear-debug | FastMediaSorter_wear_debug.apk
2026-02-09 17:37:23 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-09 19:00:07 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-09 19:17:28 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-09 19:25:39 | standard-debug | FastMediaSorter_standard_debug.apk
>>>>>>> copilot/vscode-mlbjbph6-p0dc
2026-02-09 20:29:25 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-09 21:16:33 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-09 21:20:48 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-09 21:33:15 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-09 22:07:55 | standard-debug | FastMediaSorter_standard_debug.apk
2026-02-09 22:18:00 | standard-release | FastMediaSorter_standard_release.apk
2026-02-09 22:44:32 | standard-debug | FastMediaSorter_standard_debug.apk
