audio-player.chromecast-casting SUPPORT_AUDIO+SUPPORT_CAST
streams.preset-enabled-catalog-autoload SUPPORT_STREAMS
streams.reorder-pinned-streams SUPPORT_STREAMS
streams.send-manual-stream-to-watch SUPPORT_WEAR_COMPANION
streams.stream-browser-grid-mode-live-channels-shown-as SUPPORT_STREAMS
streams.streams-grid-flag-fallback SUPPORT_STREAMS
ui.launcher-notification-strip-cap-by-status-bar SUPPORT_LAUNCHER
video-player.chromecast-video-casting SUPPORT_VIDEO+SUPPORT_CAST
video-player.d-pad-and-tv-remote-focus-navigation SUPPORT_VIDEO
video-player.vp9-software-decode-backstop SUPPORT_STREAMS
video.pip_host_task SUPPORT_VIDEO
vr-and-openxr.clean-teardown-after-an-immersive-playback-error SUPPORT_IMMERSIVE_XR
vr-cinema.adaptive-immersive-hud-controls SUPPORT_IMMERSIVE_XR
vr-cinema.immersive-hud-seek-bar SUPPORT_IMMERSIVE_XR
vr-cinema.immersive-prev-next-walk-the-resource SUPPORT_IMMERSIVE_XR
vr-openxr.180-degree-hemisphere-image-viewer SUPPORT_IMMERSIVE_XR
vr-openxr.360-degree-equirectangular-image-viewer SUPPORT_IMMERSIVE_XR
vr-openxr.3d-vr-master-toggle-with-profile-sync SUPPORT_IMMERSIVE_XR
vr-openxr.adjustable-stereo-parallax-depth SUPPORT_IMMERSIVE_XR
vr-openxr.auto-immersive-entry-for-stereo-content SUPPORT_IMMERSIVE_XR
vr-openxr.automatic-stereo-format-detection SUPPORT_IMMERSIVE_XR
vr-openxr.bundled-360-fallback-asset SUPPORT_IMMERSIVE_XR
vr-openxr.controller-haptic-feedback SUPPORT_IMMERSIVE_XR
vr-openxr.cylinder-projected-panorama-viewer SUPPORT_IMMERSIVE_XR
vr-openxr.dynamic-media-playlist-in-immersive-mode SUPPORT_IMMERSIVE_XR
vr-openxr.flat-player-state-snapshot-and-restore SUPPORT_IMMERSIVE_XR
vr-openxr.fps-overlay-in-immersive-hud SUPPORT_IMMERSIVE_XR
vr-openxr.hand-tracking-input-support SUPPORT_IMMERSIVE_XR
vr-openxr.head-locked-hud-overlay SUPPORT_IMMERSIVE_XR
vr-openxr.immersive-hud-settings-panel SUPPORT_IMMERSIVE_XR
vr-openxr.immersive-video-playback SUPPORT_IMMERSIVE_XR
vr-openxr.in-headset-immersive-browser SUPPORT_IMMERSIVE_XR
vr-openxr.interactive-hud-control-panel SUPPORT_IMMERSIVE_XR
vr-openxr.loading-overlay-before-first-immersive-frame SUPPORT_IMMERSIVE_XR
vr-openxr.multi-source-input-exit-handler SUPPORT_IMMERSIVE_XR
vr-openxr.openxr-immersive-session-engine SUPPORT_IMMERSIVE_XR
vr-openxr.per-file-stereo-format-override SUPPORT_IMMERSIVE_XR
vr-openxr.playback-launch-from-immersive-browser SUPPORT_IMMERSIVE_XR
vr-openxr.player-vr-launch-badge-and-overflow-entry SUPPORT_IMMERSIVE_XR
vr-openxr.ray-navigation-in-immersive-browser SUPPORT_IMMERSIVE_XR
vr-openxr.stereoscopic-sbs-ou-rendering SUPPORT_IMMERSIVE_XR
vr-openxr.virtual-cinema-screen-for-flat-files SUPPORT_IMMERSIVE_XR
vr-openxr.vr-settings-block-in-media-settings SUPPORT_IMMERSIVE_XR
vr-openxr.xr-runtime-detection SUPPORT_IMMERSIVE_XR
vr.immersive-browser-thumbstick-grid-navigation SUPPORT_IMMERSIVE_XR
vr.immersive-controls-legend SUPPORT_IMMERSIVE_XR
vr.immersive-hud-hide-exit-buttons-and-trigger-summon SUPPORT_IMMERSIVE_XR
vr.immersive-hud-idle-auto-hide SUPPORT_IMMERSIVE_XR
vr.immersive-stereo-from-container-metadata SUPPORT_IMMERSIVE_XR
vr.immersive-thumbstick-seek-with-grip-as-media-step SUPPORT_IMMERSIVE_XR
wear-os-ui.calculator-operation-element-and-function-grid SUPPORT_WEAR_COMPANION
wear-os-ui.phone-browse-favourites SUPPORT_WEAR_COMPANION
wear-os-ui.phone-browser-folder-title SUPPORT_WEAR_COMPANION
wear-os-ui.phone-resource-browser SUPPORT_WEAR_COMPANION
wear-os-ui.watch-colour-scheme-from-phone SUPPORT_WEAR_COMPANION
wear-os.file-operations-and-send-to-phone SUPPORT_WEAR_COMPANION
wear-os.one-watch-name SUPPORT_WEAR_COMPANION
wear-os.open-watch-file-on-phone SUPPORT_WEAR_COMPANION
wear-os.phone-initiated-open-when-app-closed SUPPORT_WEAR_COMPANION
wear-os.resource-deletion-propagation SUPPORT_WEAR_COMPANION
wear-os.resource-sync-last-write-wins SUPPORT_WEAR_COMPANION
wear-os.send-watch-logs-to-developer SUPPORT_WEAR_COMPANION
wear-os.voice-recorder-with-transfer SUPPORT_WEAR_COMPANION
wear.add-or-open-watch-resource-from-companion SUPPORT_WEAR_COMPANION
wear.background-audio-playback-service SUPPORT_WEAR_COMPANION
wear.cast-from-watch SUPPORT_WEAR_COMPANION
wear.endpoint_selection_and_failure_classification SUPPORT_WEAR_COMPANION
wear.file_transfer_outcome_ack SUPPORT_WEAR_COMPANION
wear.open_virtual_resource_item SUPPORT_WEAR_COMPANION
wear.phone-category-empty-reason SUPPORT_WEAR_COMPANION
wear.phone-folder-grid-and-thumbnails SUPPORT_WEAR_COMPANION
wear.phone-media-browse-by-type SUPPORT_WEAR_COMPANION
wear.player-panel-autohide-delay SUPPORT_WEAR_COMPANION
wear.rectangular-grid-cells SUPPORT_WEAR_COMPANION
wear.selective-resource-transfer-to-watch SUPPORT_WEAR_COMPANION
wear.send-to-receivers SUPPORT_WEAR_COMPANION
wear.settings-group-master-switch SUPPORT_WEAR_COMPANION
wear.settings-sync-timeout SUPPORT_WEAR_COMPANION
wear.sftp_reachable_endpoint_sync SUPPORT_WEAR_COMPANION
wear.streams-phone-pinned-ranking SUPPORT_WEAR_COMPANION
wear.streams-pin-source-precedence SUPPORT_WEAR_COMPANION
wear.watch-listening SUPPORT_WEAR_COMPANION
wear.watch-listening-auto-stop SUPPORT_WEAR_COMPANION
wear.watch-picker-lists-only-transferable-resources SUPPORT_WEAR_COMPANION
wear.watch-resource-transfer SUPPORT_WEAR_COMPANION
wear.watch-settings-report-carries-panel-auto-hide SUPPORT_WEAR_COMPANION
wear.wear-companion-resource-picker-grouped-settings SUPPORT_WEAR_COMPANION
widgets.voice-recorder-widget SUPPORT_MIC_RECORDING
